0,-108
1,-149
2,-881
3,-109
4,-896
5,-164
6,-211
7,-174
8,-145
9,-148
10,-140
11,-112
12,-174
13,-99
14,-79
15,-135
16,-164
17,-46
18,-52
19,-63
20,-64
21,-54
22,-65
23,-31
24,-41
25,-59
26,-48
27,-48
28,-40
29,-150
30,-69
31,-76
32,-40
33,-51
34,-123
35,-57
36,-75
37,-57
38,-98
39,-71
40,-67
41,-95
42,-57
43,-117
44,-69
45,-68
46,-64
47,-64
48,-112
49,-45
50,-41
51,-107
52,-37
53,-42
54,-112
55,-143
56,-45
57,-62
58,-27
59,-54
60,-114
61,-30
62,-96
63,-75
64,-41
65,-77
66,-56
67,-33
68,-78
69,-67
70,-46
71,-27
72,-113
73,-58
74,-18
75,-80
76,-41
77,-58
78,-33
79,-39
80,-28
81,-86
82,-54
83,-21
84,-58
85,-62
86,-49
87,-45
88,-40
89,-45
90,-32
91,-26
92,-53
93,-41
94,-37
95,-79
96,-32
97,-23
98,-44
99,-38
100,-42
101,-43
102,-30
103,-77
104,-25
105,-41
106,-33
107,-38
108,-33
109,-19
110,-59
111,-22
112,-49
113,-33
114,-23
115,-31
116,-57
117,-19
118,-40
119,-47
120,-28
121,-37
122,-32
123,-23
124,-27
125,-52
126,-33
127,-49
128,-18
129,-36
130,-19
131,-26
132,-101
133,-45
134,-29
135,-33
136,-31
137,-19
138,-109
139,-38
140,-17
141,-29
142,-35
143,-31
144,-26
145,-36
146,-36
147,-15
148,-27
149,-137
150,-23
151,-56
152,-13
153,-15
154,-21
155,-34
156,-139
157,-20
158,-32
159,-20
160,-33
161,-18
162,-28
163,-28
164,-27
165,-22
166,-20
167,-32
168,-29
169,-41
170,-12
171,-13
172,-26
173,-25
174,-16
175,-26
176,-21
177,-30
178,-22
179,-17
180,-35
181,-17
182,-25
183,-37
184,-25
185,-28
186,-15
187,-18
188,-21
189,-17
190,-36
191,-17
192,-21
193,-31
194,-12
195,-25
196,-21
197,-21
198,-35
199,-15
200,-30
201,-13
202,-20
203,-25
204,-13
205,-30
206,-27
207,-12
208,-26
209,-12
210,-11
211,-24
212,-28
213,-25
214,-21
215,-15
216,-12
217,-27
218,-17
219,-27
220,-21
221,-15
222,-21
223,-13
224,-17
225,-32
226,-13
227,-32
228,-16
229,-14
230,-16
231,-25
232,-28
233,-11
234,-24
235,-12
236,-21
237,-28
238,-11
239,-21
240,-14
241,-16
242,-23
243,-23
244,-13
245,-12
246,-20
247,-20
248,-12
249,-16
